county,agency,year,months_reported,total_index_crimes,violent,murder,forcible_rape,robbery,aggravated_assault,property,burglary,larceny,motor_vehicle_theft,region
Nassau,Brookville Vg PD,2022,12,28,1,0,0,1,0,27,4,16,7,Non-New York City
Nassau,County Total,2022,,18509,2268,9,107,635,1517,16241,1125,14149,967,Non-New York City
Nassau,Floral Park Vg PD,2022,12,146,10,0,0,2,8,136,12,117,7,Non-New York City
Nassau,Freeport Vg PD,2022,12,506,81,0,0,19,62,425,23,361,41,Non-New York City
Nassau,Garden City Vg PD,2022,12,199,6,0,0,2,4,193,3,174,16,Non-New York City
Nassau,Glen Cove City PD,2022,12,200,14,0,3,2,9,186,13,164,9,Non-New York City
Nassau,Great Neck Estates Vg PD,2022,12,32,0,0,0,0,0,32,5,14,13,Non-New York City
Nassau,Hempstead Vg PD,2022,12,952,308,3,5,85,215,644,85,434,125,Non-New York City
Nassau,Kensington Vg PD,2022,12,7,0,0,0,0,0,7,0,2,5,Non-New York City
Nassau,Kings Point Vg PD,2022,12,48,2,0,0,0,2,46,8,24,14,Non-New York City
Nassau,Lake Success Vg PD,2022,2,6,0,0,0,0,0,6,0,0,6,Non-New York City
Nassau,Long Beach City PD,2022,12,81,31,0,1,8,22,50,11,32,7,Non-New York City
Nassau,Lynbrook Vg PD,2022,12,137,16,0,0,3,13,121,16,94,11,Non-New York City
Nassau,Malverne Vg PD,2022,12,18,0,0,0,0,0,18,1,11,6,Non-New York City
Nassau,Muttontown Village PD,2022,12,18,1,0,1,0,0,17,5,6,6,Non-New York City
Nassau,Nassau County MTA,2022,12,65,13,0,1,5,7,52,2,50,0,Non-New York City
Nassau,Nassau County Park PD,2022,12,20,3,0,0,2,1,17,1,15,1,Non-New York City
Nassau,Nassau County PD,2022,12,15610,1740,6,92,489,1153,13870,888,12356,626,Non-New York City
Nassau,Nassau County State Police,2022,12,33,15,0,2,6,7,18,2,11,5,Non-New York City
Nassau,Old Brookville Vg PD,2022,12,25,0,0,0,0,0,25,7,6,12,Non-New York City
Nassau,Old Westbury Vg PD,2022,12,40,2,0,0,1,1,38,13,13,12,Non-New York City
Nassau,Oyster Bay Cove Vg PD,2022,12,27,0,0,0,0,0,27,5,10,12,Non-New York City
Nassau,Port Washington Police District,2022,12,144,6,0,0,2,4,138,12,118,8,Non-New York City
Nassau,Rockville Centre Vg PD,2022,12,146,15,0,0,8,7,131,9,105,17,Non-New York City
Nassau,Sands Point Vg PD,2022,12,8,1,0,0,0,1,7,0,6,1,Non-New York City
Nassau,SUNY Police - Old Westbury,2022,12,13,3,0,2,0,1,10,0,10,0,Non-New York City
Nassau,County Total,2021,,12538,1915,19,172,445,1279,10623,838,9156,629,Non-New York City
Nassau,Floral Park Vg PD,2021,12,68,9,1,0,3,5,59,6,51,2,Non-New York City
Nassau,Garden City Vg PD,2021,12,183,5,1,0,3,1,178,12,161,5,Non-New York City
Nassau,Glen Cove City PD,2021,12,102,8,0,1,5,2,94,9,80,5,Non-New York City
Nassau,Great Neck Estates Vg PD,2021,12,9,0,0,0,0,0,9,0,4,5,Non-New York City
Nassau,Hempstead Vg PD,2021,12,799,268,5,6,68,189,531,73,346,112,Non-New York City
Nassau,Kensington Vg PD,2021,12,2,0,0,0,0,0,2,0,0,2,Non-New York City
Nassau,Kings Point Vg PD,2021,12,15,1,0,0,0,1,14,0,4,10,Non-New York City
Nassau,Lake Success Vg PD,2021,12,22,1,0,0,0,1,21,7,9,5,Non-New York City
Nassau,Long Beach City PD,2021,12,67,19,0,4,1,14,48,3,42,3,Non-New York City
Nassau,Lynbrook Vg PD,2021,12,116,15,0,0,3,12,101,21,74,6,Non-New York City
Nassau,Malverne Vg PD,2021,12,8,1,0,0,0,1,7,0,7,0,Non-New York City
Nassau,Nassau County MTA,2021,12,32,6,0,0,3,3,26,3,23,0,Non-New York City
Nassau,Nassau County Park PD,2021,12,20,3,0,1,0,2,17,1,15,1,Non-New York City
Nassau,Nassau County PD,2021,12,10788,1546,12,156,351,1027,9242,668,8132,442,Non-New York City
Nassau,Nassau County State Police,2021,12,32,14,0,3,2,9,18,1,12,5,Non-New York City
Nassau,Old Brookville Vg PD,2021,12,5,0,0,0,0,0,5,1,4,0,Non-New York City
Nassau,Old Westbury Vg PD,2021,12,34,0,0,0,0,0,34,5,26,3,Non-New York City
Nassau,Oyster Bay Cove Vg PD,2021,12,23,1,0,0,1,0,22,2,16,4,Non-New York City
Nassau,Port Washington Police District,2021,12,107,6,0,0,0,6,101,7,89,5,Non-New York City
Nassau,Rockville Centre Vg PD,2021,12,100,11,0,0,5,6,89,18,58,13,Non-New York City
Nassau,Sands Point Vg PD,2021,12,2,0,0,0,0,0,2,0,1,1,Non-New York City
Nassau,SUNY Police - Old Westbury,2021,12,4,1,0,1,0,0,3,1,2,0,Non-New York City
Nassau,Centre Island Vg PD,2020,12,1,0,0,0,0,0,1,1,0,0,Non-New York City
Nassau,County Total,2020,,12244,1826,23,54,523,1226,10418,975,8741,702,Non-New York City
Nassau,Floral Park Vg PD,2020,12,71,10,0,0,3,7,61,9,41,11,Non-New York City
Nassau,Freeport Vg PD,2020,11,336,73,1,1,33,38,263,18,223,22,Non-New York City
Nassau,Garden City Vg PD,2020,12,248,5,0,0,0,5,243,8,221,14,Non-New York City
Nassau,Glen Cove City PD,2020,12,110,3,0,0,1,2,107,13,89,5,Non-New York City
Nassau,Great Neck Estates Vg PD,2020,12,9,1,0,0,0,1,8,3,2,3,Non-New York City
Nassau,Hempstead Vg PD,2020,12,925,357,8,3,105,241,568,105,357,106,Non-New York City
Nassau,Kings Point Vg PD,2020,12,12,0,0,0,0,0,12,0,3,9,Non-New York City
Nassau,Lake Success Vg PD,2020,12,14,0,0,0,0,0,14,5,5,4,Non-New York City
Nassau,Long Beach City PD,2020,12,61,13,0,0,6,7,48,4,41,3,Non-New York City
Nassau,Lynbrook Vg PD,2020,12,132,15,0,0,5,10,117,10,96,11,Non-New York City
Nassau,Malverne Vg PD,2020,12,16,0,0,0,0,0,16,2,13,1,Non-New York City
Nassau,Nassau County MTA,2020,12,32,7,0,0,4,3,25,1,23,1,Non-New York City
Nassau,Nassau County Park PD,2020,12,31,2,0,1,0,1,29,0,29,0,Non-New York City
Nassau,Nassau County PD,2020,12,9876,1304,14,45,358,887,8572,752,7365,455,Non-New York City
Nassau,Nassau County State Police,2020,12,19,9,0,1,2,6,10,0,6,4,Non-New York City
Nassau,Old Brookville Vg PD,2020,12,48,1,0,0,0,1,47,6,23,18,Non-New York City
Nassau,Old Westbury Vg PD,2020,12,21,1,0,0,0,1,20,3,11,6,Non-New York City
Nassau,Oyster Bay Cove Vg PD,2020,12,17,0,0,0,0,0,17,3,9,5,Non-New York City
Nassau,Port Washington Police District,2020,12,123,8,0,1,2,5,115,11,102,2,Non-New York City
