county,agency,year,months_reported,total_index_crimes,violent,murder,forcible_rape,robbery,aggravated_assault,property,burglary,larceny,motor_vehicle_theft,region
Suffolk,Amityville Vg PD,2022,12,67,3,0,0,2,1,64,3,56,5,Non-New York City
Suffolk,County Total,2022,,20785,1371,27,126,296,922,19414,1018,16925,1471,Non-New York City
Suffolk,East Hampton Town PD,2022,12,107,4,0,0,0,4,103,2,96,5,Non-New York City
Suffolk,East Hampton Vg PD,2022,12,34,1,0,0,0,1,33,1,30,2,Non-New York City
Suffolk,Huntington Bay Vg PD,2022,12,8,0,0,0,0,0,8,0,5,3,Non-New York City
Suffolk,Lloyd Harbor Vg PD,2022,12,20,2,0,0,0,2,18,1,12,5,Non-New York City
Suffolk,Nissequogue Vg PD,2022,12,2,0,0,0,0,0,2,1,1,0,Non-New York City
Suffolk,Northport Vg PD,2022,12,61,1,0,0,0,1,60,1,59,0,Non-New York City
Suffolk,Ocean Beach Vg PD,2022,12,28,0,0,0,0,0,28,0,28,0,Non-New York City
Suffolk,Quogue Vg PD,2022,12,22,0,0,0,0,0,22,1,17,4,Non-New York City
Suffolk,Riverhead Town PD,2022,12,786,42,0,3,18,21,744,48,683,13,Non-New York City
Suffolk,Shelter Island Town PD,2022,12,20,1,0,1,0,0,19,3,16,0,Non-New York City
Suffolk,Southampton Town PD,2022,12,587,28,0,4,5,19,559,31,478,50,Non-New York City
Suffolk,Southampton Vg PD,2022,12,63,2,0,1,0,1,61,5,48,8,Non-New York City
Suffolk,Southold Town PD,2022,12,336,13,0,1,0,12,323,25,284,14,Non-New York City
Suffolk,Suffolk County MTA,2022,12,51,8,0,0,3,5,43,0,43,0,Non-New York City
Suffolk,Suffolk County Park PD,2022,12,21,1,0,0,0,1,20,0,20,0,Non-New York City
Suffolk,Suffolk County PD,2022,12,18290,1201,27,108,257,809,17089,880,14856,1353,Non-New York City
Suffolk,Suffolk County Sheriff,2022,9,37,37,0,0,2,35,0,0,0,0,Non-New York City
Suffolk,Suffolk County State Police,2022,12,43,20,0,8,5,7,23,2,19,2,Non-New York City
Suffolk,SUNY Police - Farmingdale,2022,12,15,0,0,0,0,0,15,0,15,0,Non-New York City
Suffolk,SUNY Police - Stony Brook,2022,12,143,3,0,0,2,1,140,9,128,3,Non-New York City
Suffolk,Westhampton Beach Vg PD,2022,12,44,4,0,0,2,2,40,5,31,4,Non-New York City
Suffolk,Amityville Vg PD,2021,12,41,1,0,1,0,0,40,6,31,3,Non-New York City
Suffolk,Asharoken Vg PD,2021,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Suffolk,County Total,2021,,17114,1455,33,237,282,903,15659,843,13598,1218,Non-New York City
Suffolk,East Hampton Town PD,2021,12,93,4,0,1,0,3,89,2,86,1,Non-New York City
Suffolk,East Hampton Vg PD,2021,12,38,0,0,0,0,0,38,3,31,4,Non-New York City
Suffolk,Huntington Bay Vg PD,2021,12,9,0,0,0,0,0,9,0,7,2,Non-New York City
Suffolk,Lloyd Harbor Vg PD,2021,12,9,1,0,0,0,1,8,1,6,1,Non-New York City
Suffolk,Nissequogue Vg PD,2021,12,3,0,0,0,0,0,3,1,2,0,Non-New York City
Suffolk,Ocean Beach Vg PD,2021,12,7,0,0,0,0,0,7,1,6,0,Non-New York City
Suffolk,Quogue Vg PD,2021,12,15,0,0,0,0,0,15,3,9,3,Non-New York City
Suffolk,Riverhead Town PD,2021,12,761,38,0,2,15,21,723,35,676,12,Non-New York City
Suffolk,Sag Harbor Vg PD,2021,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Suffolk,Shelter Island Town PD,2021,12,27,1,0,1,0,0,26,1,24,1,Non-New York City
Suffolk,Southampton Town PD,2021,12,495,50,0,8,5,37,445,23,374,48,Non-New York City
Suffolk,Southampton Vg PD,2021,12,35,0,0,0,0,0,35,0,32,3,Non-New York City
Suffolk,Southold Town PD,2021,12,220,21,0,7,3,11,199,16,175,8,Non-New York City
Suffolk,Suffolk County MTA,2021,12,35,8,0,0,3,5,27,2,24,1,Non-New York City
Suffolk,Suffolk County Park PD,2021,12,30,1,0,1,0,0,29,1,28,0,Non-New York City
Suffolk,Suffolk County PD,2021,12,15131,1289,32,206,256,795,13842,741,11985,1116,Non-New York City
Suffolk,Suffolk County Sheriff,2021,12,28,24,0,0,0,24,4,1,0,3,Non-New York City
Suffolk,Suffolk County State Police,2021,12,38,12,1,9,0,2,26,0,21,5,Non-New York City
Suffolk,SUNY Police - Farmingdale,2021,12,12,1,0,1,0,0,11,0,11,0,Non-New York City
Suffolk,SUNY Police - Stony Brook,2021,12,63,1,0,0,0,1,62,3,58,1,Non-New York City
Suffolk,Westhampton Beach Vg PD,2021,12,22,3,0,0,0,3,19,3,10,6,Non-New York City
Suffolk,Amityville Vg PD,2020,12,66,5,2,0,2,1,61,5,49,7,Non-New York City
Suffolk,Asharoken Vg PD,2020,11,1,0,0,0,0,0,1,0,0,1,Non-New York City
Suffolk,County Total,2020,,18148,1321,33,171,316,801,16827,1127,14434,1266,Non-New York City
Suffolk,East Hampton Town PD,2020,12,153,3,0,0,0,3,150,5,137,8,Non-New York City
Suffolk,East Hampton Vg PD,2020,12,24,1,0,0,0,1,23,2,19,2,Non-New York City
Suffolk,Huntington Bay Vg PD,2020,12,7,0,0,0,0,0,7,0,7,0,Non-New York City
Suffolk,Lloyd Harbor Vg PD,2020,12,14,2,0,0,0,2,12,2,7,3,Non-New York City
Suffolk,Nissequogue Vg PD,2020,12,10,0,0,0,0,0,10,3,7,0,Non-New York City
Suffolk,Northport Vg PD,2020,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Suffolk,Ocean Beach Vg PD,2020,12,9,0,0,0,0,0,9,0,9,0,Non-New York City
Suffolk,Quogue Vg PD,2020,12,32,1,0,0,0,1,31,4,25,2,Non-New York City
Suffolk,Riverhead Town PD,2020,12,503,28,0,0,8,20,475,23,440,12,Non-New York City
Suffolk,Shelter Island Town PD,2020,12,25,1,0,0,0,1,24,3,19,2,Non-New York City
Suffolk,Southampton Town PD,2020,12,634,39,1,3,5,30,595,54,494,47,Non-New York City
Suffolk,Southampton Vg PD,2020,12,45,0,0,0,0,0,45,1,42,2,Non-New York City
Suffolk,Southold Town PD,2020,12,282,11,0,4,0,7,271,41,225,5,Non-New York City
Suffolk,Suffolk County MTA,2020,12,42,13,0,0,6,7,29,0,29,0,Non-New York City
Suffolk,Suffolk County Park PD,2020,12,49,3,0,1,2,0,46,0,45,1,Non-New York City
Suffolk,Suffolk County PD,2020,12,16073,1166,30,147,291,698,14907,973,12769,1165,Non-New York City
Suffolk,Suffolk County Sheriff,2020,12,18,18,0,0,0,18,0,0,0,0,Non-New York City
Suffolk,Suffolk County State Police,2020,12,35,19,0,12,1,6,16,3,10,3,Non-New York City
Suffolk,SUNY Police - Farmingdale,2020,12,8,0,0,0,0,0,8,0,8,0,Non-New York City
Suffolk,SUNY Police - Stony Brook,2020,12,92,11,0,4,1,6,81,4,76,1,Non-New York City
Suffolk,Westhampton Beach Vg PD,2020,12,24,0,0,0,0,0,24,4,15,5,Non-New York City
Suffolk,Amityville Vg PD,2019,12,71,3,1,0,0,2,68,12,52,4,Non-New York City
Suffolk,County Total,2019,,18194,1419,26,234,303,856,16775,1065,14874,836,Non-New York City
Suffolk,East Hampton Town PD,2019,12,177,17,0,3,0,14,160,13,142,5,Non-New York City
Suffolk,East Hampton Vg PD,2019,12,35,0,0,0,0,0,35,2,31,2,Non-New York City
Suffolk,Huntington Bay Vg PD,2019,12,7,0,0,0,0,0,7,0,7,0,Non-New York City
Suffolk,Lloyd Harbor Vg PD,2019,12,10,3,0,0,0,3,7,0,6,1,Non-New York City
Suffolk,Nissequogue Vg PD,2019,12,5,0,0,0,0,0,5,1,3,1,Non-New York City
