"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2935591,"June 9, 2024","District of Columbia",Washington,"2200 block of Minnesota Ave SE",0,4,0,0,0,N/A
2935144,"June 9, 2024",Wisconsin,Madison,"433 W Johnson St",0,10,0,0,0,N/A
2935430,"June 9, 2024",Texas,Dallas,"Elm St and N Crowdus St",0,4,0,0,0,N/A
2936012,"June 9, 2024",Virginia,Richmond,"200 block of N 2nd St",0,4,0,0,0,N/A
2934578,"June 8, 2024","South Dakota","Sioux Falls","5105 S Drexel Ave",3,2,0,0,1,N/A
2934537,"June 8, 2024","North Carolina",Charlotte,"616 N Tryon St",0,4,0,0,0,N/A
2934048,"June 7, 2024",Missouri,"Saint Louis (Jennings)","2600 block of Shannon Ave",1,4,0,0,0,N/A
2934417,"June 7, 2024","South Carolina",Seabrook,"Horace Dawson Ln",0,4,0,0,0,N/A
2934007,"June 7, 2024",California,Compton,"E Greenleaf Blvd and S Mayo Ave",1,5,0,0,0,N/A
2933578,"June 6, 2024",Missouri,"Kansas City","3200 block of Bellefontaine Ave",2,2,0,0,0,N/A
2930393,"June 3, 2024",Tennessee,Memphis,"3600 block of Powers Rd",0,4,0,0,0,N/A
2930818,"June 3, 2024",Virginia,Triangle,"3700 block of Masthead Trail",1,3,0,0,1,N/A
2931572,"June 3, 2024",Pennsylvania,Philadelphia,"N Philip St and W Westmoreland St",0,4,0,0,0,N/A
2928604,"June 2, 2024",Pennsylvania,Pittsburgh,"3534 Laketon Rd",2,7,0,0,0,N/A
2928467,"June 2, 2024",Ohio,Akron,"Kelly Ave and 8th Ave",1,24,0,0,0,N/A
2928765,"June 2, 2024",Florida,Pensacola,"Palafox St and W Intendencia St",0,4,0,0,1,N/A
2928754,"June 2, 2024",Virginia,"Newport News","26th St and Parish Ave",0,4,0,0,0,N/A
2929682,"June 2, 2024",Missouri,"Saint Louis","3775 Kossuth Ave",0,6,0,0,0,N/A
2928614,"June 2, 2024",Kentucky,Louisville,"7015 Raggard Rd",0,7,0,0,0,N/A
2929504,"June 1, 2024",Pennsylvania,Philadelphia,"900 block of S 58th St",1,3,0,0,0,N/A
