Year,County,Municipality,DEC ID,Facility Name,SIC Code,VOC (tons),NOx (tons),CO (tons),CO2 (tons),Particulates (tons),PM10 (tons),PM2.5 (tons),HAPS (tons),SO2 (tons),Location
2014,KINGS,BROOKLYN (6103),2610300158,NEW YORK METHODIST HOSPITAL,8062,4.02,26.5,36.93,29006.21,1.62,0,1.61,0,0.18,POINT (-73.99036 40.69245)
2018,KINGS,BROOKLYN,2610500301,KINGS PLAZA ENERGY LLC,4931,7.45,36.72,16.82,18681.13,1.6,1.58,0.01,0,0.09,POINT (-73.99036 40.69245)
2014,NEW YORK,MANHATTAN (6203),2620300001,NYC-HH - HARLEM HOSPITAL,8062,0,0,0,0,0,0,0,0,0,POINT (-74.00601 40.7145)
2020,DUTCHESS,BEACON,3130200017,CHEMPRENE INC,3052,6.86,0.34,0.29,443.11,1.49,0,0.03,0,0,POINT (-73.97282 41.50666)
2019,ALBANY,SELKIRK,4012200007,SHPP US LLC,2821,7.3,96,36.7,55811.8,0,10.39,4.16,0,0.34,POINT (-73.79876 42.53269)
2015,CHENANGO,NORWICH,7084200017,KERRY,2023,0,0.48,0.1,444.87,0.41,0.07,0.03,10.01,0,POINT (-75.52426 42.53654)
2020,ROCKLAND,STONY POINT,3392800001,ALGONQUIN GAS: STONY POINT COMPRESSOR STA,4922,15.81,17.71,30.03,68509.84,6.12,2.91,3.21,0,1.97,POINT (-74.00764 41.23448)
2011,SUFFOLK,ISLIP,1472803244,EDGEWOOD ENERGY LLC,4911,0.81,6.88,14.78,91518.34,5.08,5.08,5.08,0,0.46,POINT (-73.218 40.72817)
2010,BRONX,BRONX (6007),2600700245,JAMIE TOWERS,6513,0.21,9.99,0.94,4790.96,0.28,0.28,0.25,0,8.77,POINT (-73.92309 40.826)
2015,NASSAU,HEMPSTEAD,1282000653,CEDAR CREEK WPCP,4952,40.05,216.12,266.95,36869.39,15.29,1.52,13.77,0,63.86,POINT (-73.62194 40.7101)
2011,WESTCHESTER,MT. VERNON,3550800088,SPRAYLAT CORP,2851,2.23,0.8,0.34,614.83,0.48,0.09,0.06,0,0.16,POINT (-73.83827 40.91245)
2013,WASHINGTON,WHITEHALL,5535200007,COMMONWEALTH PLYWOOD INC,2436,25.7,17.22,85.44,511.88,71.94,71.94,23.66,0.04,0.57,POINT (-73.39739 43.55028)
2016,NEW YORK,NEW YORK,2620200100,ONE LINCOLN PLAZA CONDOMINIUM,6513,0.54,6.58,4.14,8319.78,1.15,0,1.14,0.05,5.56,POINT (-74.00712 40.71453)
2019,QUEENS,JAMAICA,2630600067,ST JOHNS UNIVERSITY,8221,0.53,11.93,9.68,14141.84,0,0,0.93,0,0.78,POINT (-73.80853 40.70179)
2010,KINGS,BROOKLYN (6101),2610101077,N 1ST STREET PLANT,4911,0.84,2.97,2.92,30390.17,1.18,1.18,0.01,0,0.16,POINT (-73.99036 40.69245)
2010,FRANKLIN,CHATEAUGAY,5163400022,REENERGY CHATEAUGAY LLC,4911,7.93,179.82,249.49,195179.94,229.68,140.04,0.03,0,8.38,POINT (-74.08016 44.92649)
2014,RENSSELAER,RENSSELAER,4381400016,AMRI RENSSELAER,2834,14.45,8.38,6.83,9399.07,1.87,0,0.63,0.39,0.08,POINT (-73.74127 42.64472)
