County,Market Name,Market Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference_1
Albany,Altamont Orchards Farm Stand,6654 Dunnsville Rd Altamont,6654 Dunnsville Road,Altamont,NY,12009,Jim Abbruzzese,5188616515,http://www.altamontorchards.com,"Mon-Fri 10am-5pm, Sat/Sun 9:30am-4pm",May 1-December 23,P/M/X,Y,N,N,Y,42.72256,-74.01493,POINT (-74.01493 42.72256)
Albany,Delaware Community Farmers' Market,"Delaware Branch Library, 331 Delaware Ave Albany",331 Delaware Ave,Albany,NY,12209,Louise McNeilly,5184320516,,"Tue 4pm-7pm , Oct-Nov 3pm-6pm",June 18-November 5,M,Y,Y,N,Y,42.64305,-73.77824,POINT (-73.77824 42.64305)
Albany,Empire State Plaza Wed Farmers' Market,"Empire State Plaza, (Winter inside South Concourse)",170 State St,Albany,NY,12210,Nicholas DeBlois,5184744759,https://empirestateplaza.ny.gov/empire-state-plaza-farmers-market,Wed 10am-2pm,Year-round,YR,Y,Y,Y,Y,42.65068,-73.758,POINT (-73.758 42.65068)
Albany,The Gade Farm Farm Stand,2479 Western Ave Altamont,2479 Western Avenue,Altamont,NY,12009,Amy Castillo,5188698019,http://www.gadefarm.com,"Mon-Sat 9am-6pm, Sun 9am-4pm",Year-round,YR,Y,N,N,Y,42.71055,-73.92593,POINT (-73.92593 42.71055)
Albany,Town of Colonie Farmers' Market at the Crossings,580 Albany Shaker Rd Loudonville,580 Albany Shaker Rd,Colonie,NY,12211,Tara Booker,5187832760,http://www.colonie.org,Sat 9am-1pm,May 11-September 21,P/M,Y,N,N,Y,42.71016,-73.78029,POINT (-73.78029 42.71016)
Albany,Veggie Mobile Sprout-St. Sophia Church,440 Whitehall Rd. Albany,440 Whitehall Road,Albany,NY,12208,Lucy LaFave,5182748685,http://www.capitalroots.org,Wed 12:15pm-1pm,Year-round,YR,Y,Y,N,Y,42.65197,-73.81477,POINT (-73.81477 42.65197)
Albany,Veggie Mobile-Cohoes Senior Ctr,10 Cayuga Plaza Cohoes,10 Cayuga Plaza,Cohoes,NY,12047,Lucy LaFave,5182748685,http://www.capitalroots.org,Wed 2:30pm-3:30pm,Year-round,YR,Y,Y,N,Y,42.77603,-73.70103,POINT (-73.70103 42.77603)
Albany,Veggie Mobile-South Mall Towers,101 S Pearl St Albany,101 South Pearl Street,Albany,NY,12207,Lucy LaFave,5182748685,http://www.capitalroots.org,Fri 10:45am-12pm,Year-round,YR,Y,Y,N,Y,42.6465,-73.75482,POINT (-73.75482 42.6465)
Albany,Veggie Mobile-Thurlow Terrace,2 Thurlow Terrace Albany,2 Thurlow Terrace,Albany,NY,12203,Lucy LaFave,5182748685,http://www.capitalroots.org,Wed 12pm-1pm,Year-round,YR,Y,Y,N,Y,42.65998,-73.77276,POINT (-73.77276 42.65998)
Albany,Voorheesville Farmers' Market,"First United Methodist Church lot, 68 Maple Ave",68 Maple Ave,Voorheesville,NY,12186,Dianne Luci,5187654536,,Wed 3:30pm-6:30pm,June 19-October 2,M,Y,N,N,Y,42.64892,-73.92991,POINT (-73.92991 42.64892)
Allegany,Alfred Farmers' Market,3 South Main St,3 South Main Street,Alfred,NY,14802,Kim Hannigan,5708076374,http://www.alfredfarmersmarket.com,Sun 11am-3pm,June 9-October 13,M,Y,Y,Y,Y,42.25359,-77.79036,POINT (-77.79036 42.25359)
Allegany,Belmont Farmers' Market,5429 State Route 19N,5429 NYS Route 19 N,Belmont,NY,14813,Debra Wagoner,5856108836,,Thu 11am-4pm,June 6-October 10,M,Y,Y,N,Y,42.2356,-78.05212,POINT (-78.05212 42.2356)
