Facility ID,Facility Name,Short Description,Description,Facility Open Date,Facility Address 1,Facility Address 2,Facility City,Facility State,Facility Zip Code,Facility Phone Number,Facility Fax Number,Facility Website,Facility County Code,Facility County,Regional Office ID,Regional Office,Main Site Name,Main Site Facility ID,Operating Certificate Number,Operator Name,Operator Address 1,Operator Address 2,Operator City,Operator State,Operator Zip Code,Cooperator Name,Cooperator Address,Cooperator Address 2,Cooperator City,Cooperator State,Cooperator Zip Code,Ownership Type,Facility Latitude,Facility Longitude,Facility Location
13820,"Lynn Agency, Inc.",LHCSA,Licensed Home Care Services Agency,08/25/2017,10 Union Avenue Suite 1,,Lynbrook,New York,11536,6317727100.0,7182612001.0,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,9394L002,"Lynn Agency, Inc.",95-07 101st Avenue,,Ozone Park,New York,11416,,,,,New York,,Business Corporation,,,
13923,"Gurwin Home Care Agency, Inc.",LHCSA,Licensed Home Care Services Agency,04/15/1999,68 Hauppauge Road,,Commack,New York,11725,6314931282.0,5165392305.0,www.gurwin.org,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,9849L002,"Gurwin Home Care Agency, Inc.",68 Hauppauge Road,,Commack,New York,11725,,,,,New York,,Not for Profit Corporation,,,
15209,The Center for Advanced Spine and Joint Surgery,DTC,Diagnostic and Treatment Center,08/30/2021,125 Kennedy Drive,,Hauppauge,New York,11788,,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,5155206R,"Hauppauge SC, LLC",125 Kennedy Drive,,Hauppauge,New York,11788,,,,,New York,,LLC,,,
15035,Elmore Home for Adults,AH,Adult Home,02/28/1983,330 Elmore Street,,Central Islip,New York,11722,6312346506.0,6316719662.0,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,700-F-300,Josevito Miranda Teresita Vasquez,330 Elmore Street,,Central Islip,New York,11722-3714,,,,,New York,,Individual,40.784177,-73.199732,"(40.784177, -73.199732)"
15062,The Villa at Westhampton,AH,Adult Home,06/14/2017,68 Old Country Road,,Westhampton,New York,11977,6312408100.0,6312408190.0,www.hamptonsvilla.com#http://www.hamptonsvilla.com#,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,700-F-939,"Westhampton Senior Living, Inc.",68 Old Country Road,,Westhampton,New York,11977,,,,,New York,,Business Corporation,40.827851,-72.67682,"(40.827851, -72.67682)"
14831,The Bristal at Lake Success,AH,Adult Home,02/23/2017,69 North Service Road,,Lake Success,New York,11020,5166001800.0,5166001900.0,www.thebristal.com#http://www.thebristal.com#,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,400-F-337,EB Care at Lake Success LLC,67 Clinton Road,,Garden City,New York,11530,,,,,New York,,LLC,40.770432,-73.705894,"(40.770432, -73.705894)"
12774,Shene Nursing Service,LHCSA,Licensed Home Care Services Agency,11/29/2004,66 Newtown Lane,Suite 8,East Hampton,New York,11937,6313249555.0,6314581426.0,www.shenenursingservice.com,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,1127L001,Bethany L. Shene,66 Newtown Lane,Suite 8,East Hampton,New York,11937,,,Suite 8,,New York,,Individual,40.964734,-72.187572,"(40.964734, -72.187572)"
7513,Comprehensive Community Hospice of Parker Jewish Institute,HSPC,Hospice,09/09/1997,271-11 76th Avenue,,New Hyde Park,New York,11040,5165861575.0,5165861690.0,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,7003502F,Parker Jewish Institute for Health Care & Rehabilitation,271-11 76th Avenue,,New Hyde Park,New York,11040,,,,,New York,,Not for Profit Corporation,40.753952,-73.706223,"(40.753952, -73.706223)"
6869,"Long Island Center for Digestive Health, LLC",DTC,Diagnostic and Treatment Center,06/15/2006,106 Charles Lindbergh Boulevard,,Uniondale,New York,11553,5167941868.0,,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,2905203R,"Long Island Center for Digestive Health, LLC",1103 Stewart Avenue,,Garden City,New York,11530,,,,,New York,,LLC,40.726667,-73.602846,"(40.726667, -73.602846)"
906,Sun River Health Elsie Owens,DTC-EC,Diagnostic and Treatment Center Extension Clinic,06/22/1982,82 Middle County Road,,Coram,New York,11727,9147348503.0,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,Sun River Health,1040.0,5901200R,"Sun River Health Care, Inc.",1037 Main Street,,Peekskill,New York,10566,,,,,New York,,Not for Profit Corporation,40.873131,-72.98362,"(40.873131, -72.98362)"
10028,Julia and Israel Waldbaum Dialysis,DTC-EC,Diagnostic and Treatment Center Extension Clinic,12/05/2016,100 Community Drive,,Great Neck,New York,11021,,,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,Port Washington Dialysis Center,9926.0,2951206R,"True North Dialysis Center, LLC",1 Cisney Avenue,,Floral Park,New York,11001,,,,,New York,,LLC,40.781984,-73.706045,"(40.781984, -73.706045)"
9725,North Shore LIJ Imaging at Garden City,HOSP-EC,Hospital Extension Clinic,09/11/2014,711 Stewart Avenue,,Garden City,New York,11530,5163213400.0,,,29,Nassau,7,Metropolitan Area Regional Office - Long Island,North Shore University Hospital,541.0,2951001H,North Shore University Hospital Inc,300 Community Drive,,Manhasset,New York,11030,"Northwell Healthcare, Inc.",2000 Marcus Ave.,,New Hyde Park,New York,11042.0,Not for Profit Corporation,40.73338,-73.60868,"(40.73338, -73.60868)"
15332,Bay Vista Assisted Living,AH,Adult Home,08/10/2022,375 East Bay Drive,,Long Beach,New York,11561,5168971200.0,5167657650.0,www.bayvistaassistedliving.com,29,Nassau,7,Metropolitan Area Regional Office - Long Island,,,400-F-343,"MLAP Acquisition III, LLC",225 Crossways Park Drive,,Woodbury,New York,11797,,,,,New York,,LLC,,,
7821,Memorial Sloan Kettering Hauppauge,HOSP-EC,Hospital Extension Clinic,05/14/1999,800 Veterans Memorial Highway,,Hauppauge,New York,11788,5168635100.0,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,Memorial Hospital for Cancer and Allied Diseases,1453.0,7002020H,Memorial Hospital for Cancer and Allied Diseases Inc,1275 York Avenue,,New York,New York,10021,,,,,New York,,Not for Profit Corporation,40.82114,-73.206486,"(40.82114, -73.206486)"
