Developmental Disability Services Office,Service Provider Agency,Street Address ,Street Address Line 2,City,State,Zip Code,Phone,County,Website Url,Intermediate Care Facilities (ICFs),Individual Residential Alternative (IRA),Family Care,Self-Direction Services,Individual Support Services (ISSs),Day Habilitation,Prevocational,Supported Employment Enrollments,Community Habilitation,Family Support Services,Developmental Centers And Special Population Services,Location 1
CAPITAL DISTRICT DDSO,HIGHER GROUND INTEGRATED HUMAN SERVICES,299 SCHOOLHOUSE RD,,ALBANY,NY,12203,518-330-7552,ALBANY,,N,N,N,Y,N,N,N,Y,Y,Y,N,"299 SCHOOLHOUSE RD
ALBANY, NY 12203
(42.664986408, -73.848330785)"
HUDSON VALLEY DDSO,INDEPENDENT SUPPORT SERVICES,20 CRYSTAL STREET,,MONTICELLO,NY,12701,845-794-5218,SULLIVAN,,N,N,N,Y,N,N,N,Y,Y,Y,N,"20 CRYSTAL STREET
MONTICELLO, NY 12701
(41.662716438, -74.68926517)"
BROOME DDSO,SOUTHERN TIER INDEPENDENCE CTR (STIC),135 EAST FREDERICK STREET,,BINGHAMTON,NY,13904,607-724-2111,BROOME,http://www.stic-cil.org,N,N,N,Y,Y,N,N,Y,Y,Y,N,"135 EAST FREDERICK STREET
BINGHAMTON, NY 13904
(42.111727028, -75.89013675)"
CAPITAL DISTRICT DDSO,THE ARC  LEXINGTON  NEW YORK,127 EAST STATE STREET,,GLOVERSVILLE,NY,12078,518-773-7931,FULTON,http://www.lexingtoncenter.org,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,"127 EAST STATE STREET
GLOVERSVILLE, NY 12078
(43.07032657, -74.327919397)"
TACONIC DDSO,COARC,630 ROUTE 217,P.O. BOX 2,MELLENVILLE,NY,12544,518-672-4451,COLUMBIA,http://www.coarc.org,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"630 ROUTE 217
MELLENVILLE, NY 12544
(42.250460937, -73.670821774)"
WESTERN NEW YORK DDSO,SASI,960 WEST MAPLE COURT,,ELMA,NY,14059,716-805-1555,ERIE,http://www.sasinc.org,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"960 WEST MAPLE COURT
ELMA, NY 14059
(42.793814164, -78.625369602)"
FINGER LAKES DDSO,LIFETIME ASSISTANCE  INC.,425 PAUL ROAD,,ROCHESTER,NY,14624,585-426-4120,MONROE,http://www.lifetimeassistance.org,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,"425 PAUL ROAD
ROCHESTER, NY 14624
(43.105952005, -77.710385042)"
LONG ISLAND DDSO,CITIZENS OPTIONS UNLIMITED  INC.,189 WHEATLEY ROAD,,GLEN HEAD,NY,11545,516-626-1000,NASSAU,https://www.ahrcfoundation.org,Y,Y,N,Y,Y,N,N,N,Y,Y,N,"189 WHEATLEY ROAD
GLEN HEAD, NY 11545
(40.807861681, -73.581444618)"
BROOKLYN DDSO,METROPOLITAN DEVELOPMENT CENTER,1049 38TH STREET,,BROOKLYN,NY,11219,718-633-3334,KINGS,,N,N,N,Y,Y,N,N,N,Y,Y,N,"1049 38TH STREET
BROOKLYN, NY 11219
(40.644457317, -73.990909892)"
BERNARD M. FINESON DDSO,MEANINGFUL NY INITIATVES PPL W/DISAB INC,164-14 CROSS BAY BOULEVARD,,HOWARD BEACH,NY,11414,929-409-1027,QUEENS,,N,N,N,Y,N,N,N,N,Y,Y,N,"164-14 CROSS BAY BOULEVARD
HOWARD BEACH, NY 11414
(40.650269999, -73.837971172)"
SUNMOUNT DDSO,CLINTON CO. NYSARC  INC.,231 NEW YORK ROAD,,PLATTSBURGH,NY,12903,518-563-0930,CLINTON,http://www.cviarc.org,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"231 NEW YORK ROAD
PLATTSBURGH, NY 12903
(44.66997239, -73.452902685)"
STATEN ISLAND DDSO,PERSON CENTERED CARE SERVICES  INC.,150 GRANITE AVENUE,,STATEN ISLAND,NY,10303,718-370-1088,RICHMOND,http://www.pccsny.org,N,Y,N,Y,Y,N,Y,Y,Y,Y,N,"150 GRANITE AVENUE
STATEN ISLAND, NY 10303
(40.633607656, -74.148514901)"
WESTERN NEW YORK DDSO,THE RESOURCE CENTER,200 DUNHAM AVENUE,,JAMESTOWN,NY,14701,716-483-2344,CHAUTAUQUA,http://resourcecenter.org/,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,"200 DUNHAM AVENUE
JAMESTOWN, NY 14701
(42.10214207, -79.283940345)"
FINGER LAKES DDSO,EMPOWERING PEOPLE'S INDEPENDENCE,1650 SOUTH AVENUE,,ROCHESTER,NY,14620,585-442-6420,MONROE,http://www.epiny.org,N,Y,N,Y,Y,Y,N,N,Y,Y,N,"1650 SOUTH AVENUE
ROCHESTER, NY 14620
(43.123134069, -77.613565176)"
CAPITAL DISTRICT DDSO,WILDWOOD PROGRAMS  INC.,1190 TROY SCHENECTADY ROAD,BUILDING 1,LATHAM,NY,12110,518-640-3367,ALBANY,http://www.wildwood.edu,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"1190 TROY SCHENECTADY ROAD
LATHAM, NY 12110
(42.770819418, -73.822367589)"
BROOME DDSO,HELPING CELEBRATE ABILITIES,18 BROAD STREET,,JOHNSON CITY,NY,13790,607-798-7117,BROOME,http://www.hcaserves.com,N,Y,N,Y,Y,N,N,Y,Y,Y,N,"18 BROAD STREET
JOHNSON CITY, NY 13790
(42.114944631, -75.956326544)"
LONG ISLAND DDSO,EAST END DISABILITY ASSOCIATES  INC.,107 ROANOKE AVENUE,,RIVERHEAD,NY,11901,631-369-7345,SUFFOLK,http://www.eed-a.org,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"107 ROANOKE AVENUE
RIVERHEAD, NY 11901
(40.917189485, -72.662397182)"
TACONIC DDSO,THE ARC MID-HUDSON,471 ALBANY AVENUE,,KINGSTON,NY,12401,845-417-3596,ULSTER,http://www.ulster-greenearc.org,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"471 ALBANY AVENUE
KINGSTON, NY 12401
(41.942119511, -73.999712148)"
BROOME DDSO,SPRINGBROOK NY  INC.,105 CAMPUS DRIVE,,ONEONTA,NY,13820,607-286-7171,OTSEGO,http://www.springbrookny.org,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"105 CAMPUS DRIVE
ONEONTA, NY 13820
(42.530395213, -74.980459779)"
METRO NEW YORK DDSO,NYS ARC NEW YORK CITY CHAPTER,83 MAIDEN LANE,,NEW YORK,NY,10038,212-780-2500,NEW YORK,http://www.ahrcnyc.org,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"83 MAIDEN LANE
NEW YORK, NY 10038
(40.70744887, -74.007484267)"
FINGER LAKES DDSO,AIM INDEPENDENT LIVING CENTER (DBA),271 EAST FIRST STREET,,CORNING,NY,14830,607-962-8225,STEUBEN,http://www.aimcil.com,N,N,N,Y,Y,N,N,Y,Y,Y,N,"271 EAST FIRST STREET
CORNING, NY 14830
(42.139711772, -77.043765493)"
TACONIC DDSO,ABILITIES FIRST  INC,167 MYERS CORNERS ROAD,SUITE 202,WAPPINGERS FALLS,NY,12590,845-485-9803,DUTCHESS,http://www.abilitiesfirstny.org,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"167 MYERS CORNERS ROAD
WAPPINGERS FALLS, NY 12590
(41.599942856, -73.881326147)"
WESTERN NEW YORK DDSO,COMMUNITY SERVICES FOR EVERY1  INC.,180 OAK STREET,,BUFFALO,NY,14203,716-883-8888,ERIE,http://www.csevery1.com,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"180 OAK STREET
BUFFALO, NY 14203
(42.88666038, -78.870851322)"
HUDSON VALLEY DDSO,HAMASPIK OF ORANGE CO  INC.,1 HAMASPIK WAY,3RD FLOOR,MONROE,NY,10950,845-774-8400,ORANGE,http://www.hamaspikorange.org,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,"1 HAMASPIK WAY
MONROE, NY 10950
(41.335747112, -74.160678719)"
CENTRAL NEW YORK DDSO,RESOURCE CTR F/INDEPENDENT LIVING  INC.,131 GENESEE STREET,P.O. BOX 210,UTICA,NY,13503,315-797-4642,ONEIDA,http://www.rcil.com,N,N,N,Y,Y,Y,N,Y,Y,Y,N,"131 GENESEE STREET
UTICA, NY 13503
(43.102329347, -75.228987148)"
STATEN ISLAND DDSO,CHILDREN AT PLAY EARLY INTERVENTION CNTR,40 MERRILL AVENUE,,STATEN ISLAND,NY,10314,718-370-7529,RICHMOND,http://www.childrenatplayeic.org,N,N,N,Y,N,N,N,N,Y,Y,N,"40 MERRILL AVENUE
STATEN ISLAND, NY 10314
(40.609894414, -74.162110181)"
FINGER LAKES DDSO,MONROE CO. NYSARC  INC.,2060 BRIGHTON HENRIETTA,TOWNLINE ROAD,ROCHESTER,NY,14623,585-271-0660,MONROE,http://www.arcmonroe.org,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"2060 BRIGHTON HENRIETTA
ROCHESTER, NY 14623
(43.09522363, -77.621254566)"
CENTRAL NEW YORK DDSO,KELBERMAN CENTER  INC.,2513 SUNSET AVENUE,,UTICA,NY,13502,315-797-6241,ONEIDA,http://www.kelbermancenter.org,N,Y,N,Y,N,N,Y,Y,Y,Y,N,"2513 SUNSET AVENUE
UTICA, NY 13502
(43.081090317, -75.275202782)"
SUNMOUNT DDSO,ARC JEFFERSON-ST.LAWRENCE NEW YORK (THE),380 GAFFNEY DRIVE,PO BOX 41,WATERTOWN,NY,13601,315-788-2730,JEFFERSON,http://www.thejrc.org,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"380 GAFFNEY DRIVE
WATERTOWN, NY 13601
(43.983904102, -75.940120302)"
CAPITAL DISTRICT DDSO,NYSARC - WARREN  WASHINGTON & ALBANY CTY,436 QUAKER ROAD,,QUEENSBURY,NY,12804,518-793-4204,WARREN,http://www.wwarc.org,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"436 QUAKER ROAD
QUEENSBURY, NY 12804
(43.329820192, -73.634196461)"
WESTERN NEW YORK DDSO,PEOPLE  INC.,1219 NORTH FOREST ROAD,P.O. BOX 9033,WILLIAMSVILLE,NY,14221,716-634-8132,ERIE,http://www.people-inc.org,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,"1219 NORTH FOREST ROAD
WILLIAMSVILLE, NY 14221
(42.98919113, -78.760000402)"
CENTRAL NEW YORK DDSO,ADVOCATES INCORPORATED,290 ELWOOD DAVIS ROAD,SUITE 101,LIVERPOOL,NY,13088,315-469-9931,ONONDAGA,http://www.advocatesincorporated.org,N,N,N,Y,N,N,N,N,Y,Y,N,"290 ELWOOD DAVIS ROAD
LIVERPOOL, NY 13088
(43.099488846, -76.177660085)"
HUDSON VALLEY DDSO,HAMASPIK OF ROCKLAND COUNTY  INC,58 ROUTE 59,SUITE 1,MONSEY,NY,10952,845-356-8400,ROCKLAND,http://www.hamaspikrockland.org,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,"58 ROUTE 59
MONSEY, NY 10952
(41.108324118, -74.065062494)"
FINGER LAKES DDSO,STARBRIDGE SERVICES  INC.,1650 SOUTH AVENUE,SUITE 200,ROCHESTER,NY,14620,585-224-7231,MONROE,http://www.ldagvi.org,N,Y,N,Y,Y,N,Y,Y,Y,Y,N,"1650 SOUTH AVENUE
ROCHESTER, NY 14620
(43.123134069, -77.613565176)"
CENTRAL NEW YORK DDSO,CENTRAL NEW YORK QUEST  INC.,122 BUSINESS PARK,SUITE 3,UTICA,NY,13502,315-732-3431,ONEIDA,,N,N,N,Y,N,N,N,Y,Y,Y,N,"122 BUSINESS PARK
UTICA, NY 13502
(43.092092361, -75.284607026)"
BROOKLYN DDSO,HASC CENTER  INC.,5601 FIRST AVENUE,,BROOKLYN,NY,11220,718-745-7575,KINGS,http://www.hasc.net/,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"5601 FIRST AVENUE
BROOKLYN, NY 11220
(40.646820721, -74.022675629)"
CENTRAL NEW YORK DDSO,EXCEPTIONAL FAMILY RESOURCES  INC,1820 LEMOYNE AVENUE,,SYRACUSE,NY,13208,315-478-1462,ONONDAGA,http://www.contactefr.org,N,N,N,Y,Y,N,Y,Y,Y,Y,N,"1820 LEMOYNE AVENUE
SYRACUSE, NY 13208
(43.086511983, -76.145098319)"
HUDSON VALLEY DDSO,NEW HOPE COMMUNITY  INC.,5 NEW HOPE COMMUNITY DRIVE,ROUTE 52  PO BOX 289,LOCH SHELDRAKE,NY,12759,845-434-8300,SULLIVAN,http://www.newhopecommunity.org,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,"5 NEW HOPE COMMUNITY DRIVE
LOCH SHELDRAKE, NY 12759
(41.764254981, -74.640086281)"
HUDSON VALLEY DDSO,ACCESS: SUPPORTS FOR LIVING  INC.,15 FORTUNE ROAD WEST,,MIDDLETOWN,NY,10941,845-692-4454,ORANGE,http://www.accesssupports.org,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"15 FORTUNE ROAD WEST
MIDDLETOWN, NY 10941
(41.473549372, -74.37290373)"
LONG ISLAND DDSO,FAMILY RESID AND ESSENT ENTERPRISES  INC,191 SWEET HOLLOW ROAD,,OLD BETHPAGE,NY,11804,631-273-1300,NASSAU,http://www.familyres.org,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,"191 SWEET HOLLOW ROAD
OLD BETHPAGE, NY 11804
(40.761458665, -73.442136803)"
SUNMOUNT DDSO,MOUNTAIN LAKE SERVICES,10 ST. PATRICK'S PLACE,,PORT HENRY,NY,12974,518-546-3381,ESSEX,http://www.mountainlakeservices.org/contact-us/,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"10 ST. PATRICK'S PLACE
PORT HENRY, NY 12974
(44.04729807, -73.458373301)"
FINGER LAKES DDSO,ARC GLOW,18 MAIN STREET,,MT. MORRIS,NY,14510,585-658-2828,LIVINGSTON,http://www.lwarc.org,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"18 MAIN STREET
MT. MORRIS, NY 14510
(42.726552409, -77.875115759)"
CENTRAL NEW YORK DDSO,UNITY HOUSE OF CAYUGA COUNTY INC.,217 GENESEE STREET,SUITE 14,AUBURN,NY,13021,315-253-6227,CAYUGA,http://www.unityhouse.com,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"217 GENESEE STREET
AUBURN, NY 13021
(42.926509079, -76.578867592)"
LONG ISLAND DDSO,ACDS  INC.,4 FERN PLACE,,PLAINVIEW,NY,11803,516-933-4700,NASSAU,http://www.acds.org,N,Y,N,Y,N,N,N,N,Y,Y,N,"4 FERN PLACE
PLAINVIEW, NY 11803
(40.774494037, -73.492080538)"
BROOKLYN DDSO,SPECIAL CARE FOR FAMILIES & CHILDREN SVC,1421 EAST 2ND STREET,,BROOKLYN,NY,11230,718-252-3365,KINGS,,N,N,N,Y,Y,N,N,N,Y,Y,N,"1421 EAST 2ND STREET
BROOKLYN, NY 11230
(40.615055948, -73.972912605)"
FINGER LAKES DDSO,HAPPINESS HOUSE,731 PRE-EMPTION ROAD,,GENEVA,NY,14456,315-789-6828,ONTARIO,http://www.happinesshouse.org,N,Y,N,Y,Y,Y,N,N,Y,Y,N,"731 PRE-EMPTION ROAD
GENEVA, NY 14456
(42.867640474, -77.010979435)"
LONG ISLAND DDSO,ECONOMIC OPPORTUNITY COUNCIL OF SUFFOLK,31 WEST MAIN STREET,SUITE 300,PATCHOGUE,NY,11772,631-289-2124,SUFFOLK,http://eoc-suffolk.com,N,N,N,Y,Y,N,Y,Y,Y,Y,N,"31 WEST MAIN STREET
PATCHOGUE, NY 11772
(40.765930373, -73.015820213)"
SUNMOUNT DDSO,DISABLED PERSON'S ACTION ORG.,617 DAVIDSON STREET,P.O. BOX 222,WATERTOWN,NY,13601,315-782-3577,JEFFERSON,http://dpao.org,N,N,N,Y,N,Y,Y,Y,Y,Y,N,"617 DAVIDSON STREET
WATERTOWN, NY 13601
(43.982351564, -75.90969391)"
LONG ISLAND DDSO,DEVELOPMENTAL DISABILITIES INSTITUTE,99 HOLLYWOOD DRIVE,,SMITHTOWN,NY,11787,631-366-2950,SUFFOLK,http://www.ddiny.org,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,"99 HOLLYWOOD DRIVE
SMITHTOWN, NY 11787
(40.850639269, -73.236294022)"
HUDSON VALLEY DDSO,SHARE OF NEW SQUARE,286 NORTH MAIN STREET,SUITE 210,SPRING VALLEY,NY,10977,845-354-3233,ROCKLAND,http://chesed247.org,N,Y,N,Y,N,Y,Y,N,Y,Y,N,"286 NORTH MAIN STREET
SPRING VALLEY, NY 10977
(41.125542853, -74.040790263)"
FINGER LAKES DDSO,HERITAGE CHRISTIAN SERVICES  INC.,275 KENNETH DRIVE,SUITE 100,ROCHESTER,NY,14623,585-340-2000,MONROE,http://www.heritagechristianservices.org,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,"275 KENNETH DRIVE
ROCHESTER, NY 14623
(43.06129838, -77.644483586)"
METRO NEW YORK DDSO,CFS SELF-DIRECTED SUPPORTS  INC.,333 7TH AVENUE,9TH FLOOR,NEW YORK,NY,10001,212-629-7939,NEW YORK,,N,N,N,Y,N,N,N,Y,Y,Y,N,"333 7TH AVENUE
NEW YORK, NY 10001
(40.747423717, -73.993011319)"
