Zip Code,City,County
11701.0,Amityville,Suffolk County
11701.0,Amity Harbor,Suffolk County
11702.0,Babylon,Suffolk County
11702.0,Captree Island,Suffolk County
11702.0,Gilgo Beach,Suffolk County
11702.0,Oak Beach,Suffolk County
11702.0,Oak Island,Suffolk County
11702.0,West Gilgo Beach,Suffolk County
11703.0,Babylon,Suffolk County
11703.0,North Babylon,Suffolk County
11704.0,Babylon,Suffolk County
11704.0,West Babylon,Suffolk County
11705.0,Bayport,Suffolk County
11706.0,Fair Harbor,Suffolk County
11706.0,Kismet,Suffolk County
11706.0,Bay Shore,Suffolk County
11706.0,Saltaire,Suffolk County
11707.0,Babylon,Suffolk County
11707.0,West Babylon,Suffolk County
11708.0,Amityville,Suffolk County
11709.0,Bayville,Nassau County
11710.0,North Bellmore,Nassau County
11710.0,Bellmore,Nassau County
11713.0,Bellport,Suffolk County
11714.0,Bethpage,Nassau County
11715.0,Blue Point,Suffolk County
11716.0,Bohemia,Suffolk County
11717.0,Edgewood,Suffolk County
11717.0,West Brentwood,Suffolk County
11717.0,Brentwood,Suffolk County
11718.0,Brightwaters,Suffolk County
11719.0,Brookhaven,Suffolk County
11720.0,South Setauket,Suffolk County
11720.0,Centereach,Suffolk County
11721.0,Centerport,Suffolk County
11722.0,Central Islip,Suffolk County
11724.0,Cold Spring Harbor,Suffolk County
11725.0,Commack,Suffolk County
11726.0,Copiague,Suffolk County
11727.0,Coram,Suffolk County
11729.0,Deer Park,Suffolk County
11730.0,East Islip,Suffolk County
11731.0,Elwood,Suffolk County
11731.0,East Northport,Suffolk County
11732.0,East Norwich,Nassau County
11733.0,Setauket,Suffolk County
11733.0,East Setauket,Suffolk County
11735.0,South Farmingdale,Nassau County
11735.0,Farmingdale,Nassau County
11738.0,Farmingville,Suffolk County
11739.0,Great River,Suffolk County
11740.0,Greenlawn,Suffolk County
11741.0,Holbrook,Suffolk County
11742.0,Holtsville,Suffolk County
11743.0,Halesite,Suffolk County
11743.0,Huntington,Suffolk County
11743.0,Lloyd Harbor,Suffolk County
11746.0,Dix Hills,Suffolk County
11746.0,Huntington Station,Suffolk County
11747.0,Huntington Station,Suffolk County
11747.0,Melville,Suffolk County
11749.0,Central Islip,Suffolk County
11749.0,Hauppauge,Suffolk County
11749.0,Ronkonkoma,Suffolk County
11749.0,Islandia,Suffolk County
11751.0,Islip,Suffolk County
11752.0,Islip Terrace,Suffolk County
11753.0,Jericho,Nassau County
11754.0,Kings Park,Suffolk County
11755.0,Lake Grove,Suffolk County
11756.0,Levittown,Nassau County
11757.0,Lindenhurst,Suffolk County
11758.0,North Massapequa,Nassau County
11758.0,Massapequa,Nassau County
11760.0,Islandia,Suffolk County
11762.0,Massapequa Park,Nassau County
11763.0,Medford,Suffolk County
11764.0,Miller Place,Suffolk County
11765.0,Mill Neck,Nassau County
11766.0,Mount Sinai,Suffolk County
11767.0,Nesconset,Suffolk County
11768.0,Northport,Suffolk County
11769.0,Oakdale,Suffolk County
11770.0,Ocean Beach,Suffolk County
11771.0,Oyster Bay,Nassau County
11772.0,Davis Park,Suffolk County
11772.0,East Patchogue,Suffolk County
11772.0,Patchogue,Suffolk County
11776.0,Port Jefferson Station,Suffolk County
11777.0,Port Jefferson Station,Suffolk County
11777.0,Prt Jefferson,Suffolk County
11777.0,Prt Jefferson Station,Suffolk County
11777.0,Port Jefferson,Suffolk County
11778.0,Rocky Point,Suffolk County
11779.0,Lake Ronkonkoma,Suffolk County
11779.0,Ronkonkoma,Suffolk County
11780.0,St. James,Suffolk County
11782.0,Cherry Grove,Suffolk County
11782.0,Fire Island Pines,Suffolk County
11782.0,Sayville,Suffolk County
11783.0,Seaford,Nassau County
11784.0,Selden,Suffolk County
11786.0,Shoreham,Suffolk County
11787.0,Smithtown,Suffolk County
11788.0,Hauppauge,Suffolk County
11788.0,Smithtown,Suffolk County
11789.0,Sound Beach,Suffolk County
11790.0,Stony Brook,Suffolk County
11791.0,Syosset,Nassau County
11792.0,Wading River,Suffolk County
11793.0,Wantagh,Nassau County
11795.0,West Islip,Suffolk County
